2020-07-12 09:23:40,026 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,344 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,349 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,577 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,580 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,837 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:40,842 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,111 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,115 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,341 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,346 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,582 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,583 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,859 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:41,861 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:42,088 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/frappe-web.min.js', 'full_path': '/assets/js/frappe-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:42,092 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/frappe/js/lib/jquery/jquery.min.js', 'full_path': '/assets/frappe/js/lib/jquery/jquery.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
2020-07-12 09:23:42,308 INFO frappe.web {'site': 'localhost', 'remote_addr': '192.168.96.1', 'base_url': 'http://localhost:8005/assets/js/bootstrap-4-web.min.js', 'full_path': '/assets/js/bootstrap-4-web.min.js?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 404}
